,atomic_number,atomic_weight,density,phase,melting_point,boiling_point,critical_temperature,critical_pressure,heat_of_fusion,heat_of_vaporization,specific_heat,adiabatic_index,neel_point,thermal_conductivity,thermal_expansion,density__liquid,molar_volume,brinell_hardness,mohs_hardness,vickers_hardness,bulk_modulus,shear_modulus,young_modulus,poisson_ratio,refractive_index,speed_sound,valence,electronegativity,electron_affinity,color,electrical_conductivity,electrical_resistivity,superconducting_point,curie_point,volume_magnetic_susceptibility,atomic_radius,covalent_radius,van_der_waals_radius,lattice_constants__1,lattice_constants__2,lattice_constants__3,decay_mode,neutron_cross_section,neutron_mass_absorption,isotopic_abundances
29,29,63.546,8.96,Solid,1357.77,2835.15,,,13.1,300.0,384.4,,,400.0,1.65e-05,8.02,7.0922e-06,874.0,3.0,369.0,140.0,48.0,130.0,0.34,,3570.0,2.0,1.9,118.4,Copper,59000000.0,1.7e-08,,,-9.630000000000001e-06,145.0,132.0,140.0,361.49, 361.49, 361.49,N/A,3.78,0.0021,2
30,30,65.38,7.14,Solid,692.68,1180.15,,,7.35,119.0,388.0,,,120.0,3.02e-05,6.57,9.156999999999999e-06,412.0,2.5,,70.0,43.0,108.0,0.25,1.00205,3700.0,2.0,1.65,0.0,SlateGray,17000000.0,5.900000000001e-08,0.85,,-1.58e-05,142.0,122.0,139.0,266.49, 266.49, 494.68,N/A,1.1,0.00055,5
31,31,69.723,5.904,Solid,302.90999999999997,2477.15,,,5.59,256.0,371.0,,,29.0,0.00012,6.095,1.1809e-05,60.0,1.5,,,,,,,2740.0,3.0,1.81,28.9,Silver,7100000.0,1.3999999999999998e-07,1.083,,-1.77e-05,136.0,122.0,187.0,451.97, 766.33, 452.6,N/A,2.9,0.0015,2
32,32,72.63,5.323,Solid,1211.4499999999998,3093.15,,,31.8,334.0,321.4,,,60.0,6e-06,5.6,1.3645e-05,7273.402498871,6.0,8012.03305,,,,,,5400.0,4.0,2.01,119.0,Gray,2000.0,0.0005,,,-7.98e-06,125.0,120.0,,565.75, 565.75, 565.75,N/A,2.2,0.0011,5
33,33,74.921595,5.727,Solid,1090.15,887.15,,,27.7,32.4,328.0,,,50.0,,5.22,1.3082e-05,1440.0,3.5,1510.0,22.0,,8.0,,1.001552,,5.0,2.18,78.0,Silver,3300000.0,3e-07,,,-2.23e-05,114.0,119.0,185.0,375.98, 375.98, 1054.75,N/A,4.2,0.002,1
34,34,78.971,4.819,Solid,494.15,958.15,1766.0,27.2,5.4,26.0,321.2,,,0.52,,3.99,1.6387e-05,736.0,2.0,,8.3,3.7,10.0,0.33,1.000895,3350.0,6.0,2.55,195.0,Gray,,,,,-1.93e-05,103.0,120.0,190.0,905.4, 908.3, 1160.1,N/A,11.7,0.0056,6
35,35,79.904,3.12,Liquid,265.84999999999997,332.15,588.0,10.34,5.8,14.8,947.3,,,0.12,,3.12,2.561e-05,,,,1.9,,,,1.001132,,5.0,2.96,324.6,Red,1e-10,10000000000.0,,,-1.53e-05,94.0,120.0,185.0,672.65, 464.51, 870.23,N/A,6.8,0.002,2
36,36,83.798,0.00375,Gas,115.78999999999996,119.92999999999998,209.41,5.5,1.64,9.02,248.05,1.6666666666666667,,0.00943,,,0.02235,,,,,,,,1.000427,1120.0,2.0,3.0,0.0,Colorless,,,,,-1.65e-08,87.0,116.0,202.0,570.6, 570.6, 570.6,N/A,25.0,0.013,6
37,37,85.4678,1.532,Solid,312.46,961.15,2093.0,16.0,2.19,71.0,364.0,,,58.0,,1.46,5.5788e-05,0.216,0.3,,2.5,,2.4,,,1300.0,1.0,0.82,46.9,Silver,8300000.000000001,1.2e-07,,,3.98e-06,265.0,220.0,,558.5, 558.5, 558.5,N/A,0.38,0.0003,2
38,38,87.62,2.63,Solid,1050.15,1655.15,,,8.0,137.0,300.0,,,35.0,2.25e-05,2.375,3.3316e-05,,1.5,,,6.1,,0.28,,,2.0,0.95,5.03,Silver,7700000.0,1.3e-07,,,3.4700000000000002e-06,219.0,195.0,,608.49, 608.49, 608.49,N/A,1.2,0.0005,4
