,atomic_number,atomic_weight,density,phase,melting_point,boiling_point,critical_temperature,critical_pressure,heat_of_fusion,heat_of_vaporization,specific_heat,adiabatic_index,neel_point,thermal_conductivity,thermal_expansion,density__liquid,molar_volume,brinell_hardness,mohs_hardness,vickers_hardness,bulk_modulus,shear_modulus,young_modulus,poisson_ratio,refractive_index,speed_sound,valence,electronegativity,electron_affinity,color,electrical_conductivity,electrical_resistivity,superconducting_point,curie_point,volume_magnetic_susceptibility,atomic_radius,covalent_radius,van_der_waals_radius,lattice_constants__1,lattice_constants__2,lattice_constants__3,decay_mode,neutron_cross_section,neutron_mass_absorption,isotopic_abundances
84,84,209.0,9.196,Solid,527.15,1235.15,,,13.0,100.0,,,,,,,2.272727272727e-05,,,,,,,,,,6.0,2.0,183.3,Silver,2300000.0,4.2999999999999996e-07,,,,135.0,140.0,,335.9, 335.9, 335.9,AlphaEmission,0.5,,0
85,85,210.0,,Solid,575.15,,,,6.0,40.0,,,,2.0,,,,,,,,,,,,,7.0,2.2,270.1,Silver,,,,,,127.0,150.0,,,,,BetaPlusDecay,,,0
86,86,222.0,0.00973,Gas,202.14999999999998,211.45,377.0,6.28,3.0,17.0,93.65,1.6666666666666667,,0.00361,,,0.02281603288798,,,,,,,,,,6.0,,0.0,Colorless,,,,,,120.0,150.0,,,,,AlphaEmission,0.7,,0
87,87,223.0,,Solid,,,,,2.0,64.0,,,,,,,,,,,,,,,,,1.0,0.7,,Silver,,,,,,,260.0,,,,,BetaDecay,,,0
88,88,226.0,5.0,Solid,973.15,2010.15,,,8.0,125.0,92.0,,,19.0,,,4.52e-05,,,,,,,,,,2.0,0.9,,Silver,1000000.0,1e-06,,,,,221.0,,514.8, 514.8, 514.8,AlphaEmission,13.0,,0
89,89,227.0,10.07,Solid,1323.15,3473.15,,,14.0,400.0,120.0,,,12.0,,,2.254220456802e-05,,,,,,,,,,3.0,1.1,,Silver,,,,,,,215.0,,567, 567, 567,BetaDecay,880.0,0.078,0
90,90,232.0377,11.724,Solid,2023.15,5093.15,,,16.0,530.0,118.0,,,54.0,1.1e-05,,1.97917e-05,400.0,3.0,350.0,54.0,31.0,79.0,0.27,,2490.0,4.0,1.3,,Silver,6700000.0,1.5e-07,1.38,,8.4e-05,,206.0,,508.42, 508.42, 508.42,AlphaEmission,7.4,0.001,1
91,91,231.03588,15.37,Solid,1845.15,4273.15,,,15.0,470.0,99.1,,,47.0,,,1.50316e-05,,,,,,,,,,5.0,1.5,,Silver,5600000.0,1.8e-07,1.41,,0.0004995,,200.0,,392.5, 392.5, 323.8,AlphaEmission,200.0,,0
92,92,238.02891,19.05,Solid,1408.15,4200.15,,,14.0,420.0,116.0,,,27.0,1.39e-05,17.3,1.2495e-05,2400.0,6.0,1960.0,100.0,111.0,208.0,0.23,,3155.0,6.0,1.38,,Silver,3600000.0,2.7999999999999997e-07,0.69,,0.000411,,196.0,186.0,285.37, 586.95, 495.48,AlphaEmission,7.57,0.0005,3
93,93,237.0,20.45,Solid,917.15,4273.15,,,10.0,335.0,,,,6.0,,,1.158924205379e-05,,,,,,,,,,6.0,1.36,,Silver,830000.0,1.2e-06,,,,,190.0,,666.3, 472.3, 488.7,AlphaEmission,180.0,,0
94,94,244.0,19.816,Solid,913.15,3503.15,,,,325.0,,,,6.0,,16.63,1.231328219621e-05,,,,,43.0,96.0,0.21,,2260.0,6.0,1.28,,Silver,670000.0,1.5e-06,,,0.0006282,,187.0,,618.3, 482.2, 1096.3,AlphaEmission,1.7,,0
95,95,243.0,13.67,Solid,1449.15,2284.15,,,,,,,,10.0,,,1.777615215801e-05,,,,,,,,,,4.0,1.3,,Silver,,,0.6,,0.000704,,180.0,,346.81, 346.81, 1124.1,AlphaEmission,74.0,,0
96,96,247.0,13.51,Solid,1618.15,3383.15,,,,,,,,,,,1.828275351591e-05,,,,,,,,,,4.0,1.3,,Silver,,,,,,,169.0,,349.6, 349.6, 1133.1,AlphaEmission,60.0,,0
97,97,247.0,14.78,Solid,1323.15,,,,,,,,,10.0,,,1.671177266576e-05,,,,,,,,,,4.0,1.3,,N/A,,,,,,,,,341.6, 341.6, 1106.9,AlphaEmission,710.0,,0
98,98,251.0,15.1,Solid,1173.15,,,,,,,,,,,,1.662251655629e-05,,,,,,,,,,4.0,1.3,,N/A,,,,,,,,,338, 338, 1102.5,AlphaEmission,2900.0,,0
99,99,252.0,,Solid,1133.15,,,,,,,,,,,,,,,,,,,,,,4.0,1.3,,N/A,,,,,,,,,,,,AlphaEmission,160.0,,0
100,100,257.0,,N/A,1800.15,,,,,,,,,,,,,,,,,,,,,,3.0,1.3,,N/A,,,,,,,,,,,,AlphaEmission,5800.0,,0
101,101,258.0,,N/A,1101.15,,,,,,,,,,,,,,,,,,,,,,3.0,1.3,,N/A,,,,,,,,,,,,AlphaEmission,,,0
102,102,259.0,,N/A,1101.15,,,,,,,,,,,,,,,,,,,,,,3.0,1.3,,N/A,,,,,,,,,,,,AlphaEmission,,,0
103,103,262.0,,N/A,1900.15,,,,,,,,,,,,,,,,,,,,,,3.0,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
104,104,267.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,4.0,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
105,105,270.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,5.0,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
106,106,269.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,6.0,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
107,107,270.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,7.0,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
108,108,270.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
109,109,278.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
110,110,281.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
111,111,281.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
112,112,285.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
113,113,286.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
114,114,289.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
115,115,289.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
116,116,293.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
117,117,293.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,N/A,,,0
118,118,294.0,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,AlphaEmission,,,0
